PC,explained_variance_ratio,cumulative_variance
PC1,0.0338559685768919,0.0338559685768919
PC2,0.02186602909944383,0.05572199767633573
PC3,0.01596457724534807,0.0716865749216838
PC4,0.014708664764676936,0.08639523968636073
PC5,0.011808437382796534,0.09820367706915727
PC6,0.010226579611760156,0.10843025668091742
PC7,0.009849277445098874,0.1182795341260163
PC8,0.00893254047452823,0.12721207460054454
PC9,0.008018607333615322,0.13523068193415985
PC10,0.007844057388622384,0.14307473932278222
