PC,explained_variance_ratio,cumulative_variance
PC1,0.04767999703124799,0.04767999703124799
PC2,0.025243758171688262,0.07292375520293626
PC3,0.024170316816328107,0.09709407201926437
PC4,0.015407643000988139,0.11250171502025251
PC5,0.013493421126245408,0.12599513614649793
PC6,0.010639918487571735,0.13663505463406966
PC7,0.009746430561407152,0.1463814851954768
PC8,0.009044922824774345,0.15542640802025115
PC9,0.008747588917971344,0.1641739969382225
PC10,0.00843113674232487,0.17260513368054736
