PC1,PC2,delta_G
-8.843940464796779,-3.375165529385402,5.186543093257866
-8.54690068300697,0.9448715989994332,5.186543093257844
-8.249860901217161,-6.8723384428397924,5.18654309325785
-8.249860901217161,-4.81517790551368,5.18654309325784
-8.249860901217161,-3.1694494756527907,5.18654309325784
-8.249860901217161,-0.7008568308614569,5.186543093257829
-7.952821119427352,-5.432326066711514,5.186543093257866
-7.655781337637542,-9.95807924882896,5.186543093257866
-7.655781337637542,-8.929498980165905,5.186543093257866
-7.655781337637542,-5.432326066711514,3.45769539550525
-7.655781337637542,-4.81517790551368,5.186543093257854
-7.655781337637542,-3.375165529385402,5.186543093257866
-7.655781337637542,-2.7580173681875686,5.186543093257854
-7.655781337637542,-2.346585260722346,3.45769539550525
-7.655781337637542,-1.523721045791901,5.186543093257844
-7.655781337637542,-1.112288938326679,5.186543093257844
-7.3587415558477325,-4.81517790551368,2.446384322861848
-7.3587415558477325,-2.7580173681875686,5.186543093257847
-7.3587415558477325,-2.346585260722346,5.186543093257858
-7.3587415558477325,-2.140869206989735,5.1865430932578365
-7.3587415558477325,-1.935153153257124,5.186543093257858
-7.3587415558477325,-1.523721045791901,5.1865430932578365
-7.3587415558477325,-0.9065728845940679,5.186543093257858
-7.3587415558477325,-0.7008568308614569,5.1865430932578365
-7.3587415558477325,0.5334394915342102,5.186543093257858
-7.061701774057925,-7.2837705503050145,5.186543093257847
-7.061701774057925,-6.2551902816419584,5.186543093257847
-7.061701774057925,-5.843758174176736,5.186543093257847
-7.061701774057925,-4.81517790551368,5.186543093257847
-7.061701774057925,-4.198029744315846,5.186543093257847
-7.061701774057925,-3.5808815831180136,5.186543093257847
-7.061701774057925,-3.375165529385402,2.4463843228618583
-7.061701774057925,-2.9637334219201796,3.4576953955052314
-7.061701774057925,-2.7580173681875686,2.446384322861848
-7.061701774057925,-1.935153153257124,5.186543093257858
-7.061701774057925,-1.523721045791901,5.1865430932578365
-7.061701774057925,-1.112288938326679,5.1865430932578365
-7.061701774057925,-0.7008568308614569,5.1865430932578365
-6.764661992268115,-9.135215033898517,5.186543093257866
-6.764661992268115,-8.31235081896807,5.186543093257844
-6.764661992268115,-7.4894866040376264,5.186543093257866
-6.764661992268115,-6.46090633537457,5.186543093257866
-6.764661992268115,-5.638042120444126,5.186543093257854
