PC,explained_variance_ratio,cumulative_variance
PC1,0.07614587146572212,0.07614587146572212
PC2,0.03964068486589801,0.11578655633162013
PC3,0.024914015404387792,0.14070057173600792
PC4,0.019623556316531628,0.16032412805253954
PC5,0.013559211468211154,0.1738833395207507
PC6,0.01221989004172931,0.18610322956248
PC7,0.010095935157693388,0.19619916472017337
PC8,0.008794218758416614,0.20499338347858997
PC9,0.008229482327378622,0.2132228658059686
PC10,0.007686459644855162,0.22090932545082376
