PC,explained_variance_ratio,cumulative_variance
PC1,0.06042345709717953,0.06042345709717953
PC2,0.025917968558704162,0.0863414256558837
PC3,0.020027406172721914,0.10636883182860561
PC4,0.01626806933805311,0.12263690116665872
PC5,0.013937937912038782,0.1365748390786975
PC6,0.011405108823880555,0.14797994790257804
PC7,0.010355764196594902,0.15833571209917294
PC8,0.009226308381477602,0.16756202048065055
PC9,0.008867797539474363,0.17642981802012492
PC10,0.008139686584134298,0.18456950460425922
