PC,explained_variance_ratio,cumulative_variance
PC1,0.05587059175601423,0.05587059175601423
PC2,0.025110119330298428,0.08098071108631266
PC3,0.019187281579857135,0.1001679926661698
PC4,0.018007712796380335,0.11817570546255013
PC5,0.014377325702964457,0.1325530311655146
PC6,0.01146282480793235,0.14401585597344693
PC7,0.010077825912054894,0.15409368188550182
PC8,0.009190521040973855,0.16328420292647566
PC9,0.00866619525906075,0.17195039818553642
PC10,0.00792244450588654,0.17987284269142295
