PC,explained_variance_ratio,cumulative_variance
PC1,0.04663393782336791,0.04663393782336791
PC2,0.026743686819899533,0.07337762464326744
PC3,0.01785067041903005,0.09122829506229749
PC4,0.014074680999335072,0.10530297606163255
PC5,0.012059183726517353,0.1173621597881499
PC6,0.010356426840471257,0.12771858662862115
PC7,0.010091686882364437,0.1378102735109856
PC8,0.009494583726448467,0.14730485723743406
PC9,0.008858439591063232,0.15616329682849728
PC10,0.008037353855292435,0.16420065068378972
