PC,explained_variance_ratio,cumulative_variance
PC1,0.047679997031248256,0.047679997031248256
PC2,0.02524375817747795,0.07292375520872621
PC3,0.024170316841744543,0.09709407205047076
PC4,0.015407650159201756,0.11250172220967251
PC5,0.013493531359522413,0.12599525356919491
PC6,0.010640750827965836,0.13663600439716075
PC7,0.009749105627522377,0.14638511002468313
PC8,0.00905141937732531,0.15543652940200844
PC9,0.008759160291211278,0.1641956896932197
PC10,0.008437319199945021,0.17263300889316474
