PC,explained_variance_ratio,cumulative_variance
PC1,0.0655662773452365,0.0655662773452365
PC2,0.03291143510258027,0.09847771244781678
PC3,0.023491161916942047,0.12196887436475883
PC4,0.017076351826492364,0.1390452261912512
PC5,0.01330312687706335,0.15234835306831454
PC6,0.011463384285004975,0.16381173735331953
PC7,0.01119049349362675,0.17500223084694627
PC8,0.009984005487405703,0.18498623633435196
PC9,0.008534098627262312,0.19352033496161428
PC10,0.008348805533116625,0.2018691404947309
