PC,explained_variance_ratio,cumulative_variance
PC1,0.04265038919082397,0.04265038919082397
PC2,0.024299907928402007,0.06695029711922598
PC3,0.013710741121790163,0.08066103824101614
PC4,0.011913087377663287,0.09257412561867943
PC5,0.010049918486554189,0.10262404410523362
PC6,0.008974326989742192,0.11159837109497582
PC7,0.008536971753774353,0.12013534284875017
PC8,0.008259640645510352,0.12839498349426054
PC9,0.007474741987375543,0.1358697254816361
PC10,0.007214647917303509,0.1430843733989396
