frame,PC1,PC2,cluster
0,1.5031919897753565,-16.153169655314304,0
1,0.6922573394887788,-12.590412810192966,0
2,-1.5698932870407616,-12.823654174675479,0
3,-0.06311617878303599,-14.164793290691984,0
4,-0.7958524754158688,-14.678085474457543,0
5,-1.1194678712671922,-15.052483040586573,0
6,-1.574038065946505,-16.154531257304846,0
7,-0.4058005480666488,-14.959191724518062,0
8,-2.759172130352154,-14.688615779946348,0
9,-1.483757856201725,-17.058575052610113,0
10,-3.263339421011224,-16.18556987623602,0
11,-3.233792511286053,-16.610289411359837,0
12,-4.161210118101299,-17.054180536184894,0
13,-3.6499226462885153,-17.25107477503599,0
14,-4.237364766359549,-14.496063100646221,0
15,-3.896983332801273,-14.16001668452846,0
16,-5.9998745656344,-16.19735300703256,0
17,-5.770434141098215,-14.606274391360968,0
18,-4.290805747021966,-12.675212228946643,0
19,-4.6759746229222054,-14.026116382617937,0
20,-3.830208352005985,-12.22142155656336,0
21,-2.825999839206608,-14.397557017348197,0
22,-3.5666418542181786,-12.17719965692182,0
23,-5.318540249334209,-10.528852375697442,0
24,-5.547024827917795,-11.480681036224741,0
25,-4.78831066917925,-11.114400783876306,0
26,-4.872762346272836,-12.14440036078399,0
27,-4.71039627188568,-11.978617768807625,0
28,-4.144344283088116,-10.376496816494509,0
29,-4.1347281794836634,-11.33071992276002,0
30,-4.35418902911019,-12.050950693955988,0
31,-4.1616374626170884,-11.68913664220284,0
32,-2.6981437086828457,-10.063035603950642,0
33,-2.266971617729581,-10.242170718040072,0
34,-2.1779181169196584,-9.284372022028533,0
35,-3.8292455399931296,-9.37191968168574,0
36,-2.8260936342127585,-9.0392868738043,0
37,-3.1654256591178616,-11.667309984946947,0
38,-4.627017110357283,-10.426608919918289,0
39,-1.4111811471185993,-11.220227172664382,0
40,-2.5242109676458995,-12.66245674645734,0
41,-2.9729194453654237,-12.166253604461104,0
42,-3.2434876497743357,-12.05402734073154,0
43,-4.32906041927185,-11.164645503803916,0
44,-3.9497037361326948,-12.222073293348556,0
45,-4.2249860613077495,-11.660436310868898,0
46,-6.2826316768634785,-12.701250965485054,0
47,-4.62976148285626,-10.585108895311999,0
48,-4.548587942950591,-10.199974452320047,0
49,-4.594834115614001,-11.073046097873684,0
50,-5.333271869905656,-9.162281950436189,0
51,-4.280128988493217,-9.781014009394905,0
52,-3.15336240838694,-11.79432188563676,0
53,-3.890904714749109,-9.163896149712992,0
54,-4.18816132763493,-11.579688376902656,0
55,-6.692271645820261,-10.246909314868386,0
