PC,explained_variance_ratio,cumulative_variance
PC1,0.05818707903883364,0.05818707903883364
PC2,0.02961589490144206,0.0878029739402757
PC3,0.024911434203919454,0.11271440814419514
PC4,0.017159628065469373,0.1298740362096645
PC5,0.014431621504763325,0.14430565771442783
PC6,0.011515872361186551,0.1558215300756144
PC7,0.010632900340928874,0.16645443041654326
PC8,0.00945772130150819,0.17591215171805144
PC9,0.008700920686959204,0.18461307240501065
PC10,0.008431030536331057,0.19304410294134172
