PC,explained_variance_ratio,cumulative_variance
PC1,0.042178463303218644,0.042178463303218644
PC2,0.02609896868677883,0.06827743198999747
PC3,0.020459105383749468,0.08873653737374694
PC4,0.015171650616886936,0.10390818799063388
PC5,0.012038044103467717,0.1159462320941016
PC6,0.010799495997906179,0.12674572809200776
PC7,0.009807881407305466,0.13655360949931322
PC8,0.008606799667681537,0.14516040916699477
PC9,0.008337486015095518,0.15349789518209028
PC10,0.007159025394420036,0.16065692057651032
