frame,PC1,PC2,cluster
0,-19.53987481786166,-11.605952504035994,2
1,-19.221130666291806,-12.157650512528654,2
2,-19.933902309902315,-11.25404662355224,2
3,-18.3884068890976,-10.939935912404607,2
4,-19.982789821182564,-11.690448003621102,2
5,-19.713066744425678,-12.76939313317665,2
6,-19.08045809476817,-10.996824107910863,2
7,-19.241850272124413,-11.459270728409166,2
8,-21.644952963687484,-11.980623884388896,2
9,-21.4263442599467,-11.962026499971634,2
10,-20.393108243535607,-12.184463539398699,2
11,-21.1883202935769,-11.539802346202986,2
12,-20.74012536730082,-12.52023744550228,2
13,-18.758221786250935,-10.69336913388539,2
14,-17.286867821730052,-11.106418368629257,2
15,-18.115671552794325,-10.164360598590507,2
16,-20.03946257285484,-10.998556622637633,2
17,-17.798936655436165,-9.174234989410088,2
18,-20.630868346837833,-9.74087965550779,2
19,-20.635174248554197,-9.774481482865331,2
20,-19.926794958920908,-10.930223657130393,2
21,-19.354131790206896,-10.414574906923372,2
22,-19.014051813253573,-10.93451897091164,2
23,-19.373631245908324,-11.309699337423341,2
24,-18.339594893862838,-11.809565779154692,2
25,-17.83518491577263,-11.928230239569942,2
26,-18.010888122698383,-11.41285140163926,2
27,-18.896327761479903,-12.050126851293491,2
28,-17.899668434787138,-11.859465907170469,2
29,-20.32775848731971,-12.167818963985164,2
30,-19.84992531767561,-12.381029116127795,2
31,-20.08490542519935,-11.425227922830251,2
32,-18.725007777808575,-12.707575550268151,2
33,-17.978184613197595,-9.011878735360423,2
34,-17.684439712932996,-10.800584195906534,2
35,-18.083835663172632,-10.528649690580993,2
36,-19.155720837126676,-10.528404496852808,2
37,-18.134878187299538,-8.566499836395854,2
38,-16.65180629909851,-12.170828743574033,2
39,-15.847437757477875,-12.974997313603453,2
40,-18.628574697411477,-11.983789499162702,2
41,-19.155015228481798,-10.876475289050413,2
42,-18.08343666049904,-12.714284690512443,2
43,-18.546325151634846,-13.828211321512171,2
44,-19.371926107593293,-10.732288763741566,2
45,-18.489841264941457,-11.997631794035499,2
46,-19.344261214876006,-10.79859694333899,2
47,-17.062167878275545,-12.895641044566041,2
48,-19.979146446841757,-11.147814216871309,2
49,-16.37919786603444,-11.347559915496046,2
50,-17.827348766844683,-12.24526734960052,2
51,-20.592357782187662,-12.35363994685533,2
52,-17.1748815395721,-11.382628598074456,2
53,-17.31633649067907,-11.581342889885486,2
54,-18.110043054806738,-10.15927378589618,2
55,-18.524585423488727,-11.81483722125385,2
56,-19.912550626302707,-14.231781520928504,2
57,-18.95896999884529,-12.582364238576147,2
58,-19.61306825584918,-13.524026961449044,2
59,-16.868623123341923,-10.852266373539363,2
60,-18.68734449949602,-10.33942922600471,2
61,-18.585802055421766,-9.60188000555558,2
62,-19.571559438080566,-9.904585695238277,2
63,-20.403826731584886,-9.357897966875099,2
64,-18.109578292361817,-9.319910646614503,2
65,-19.056227180717826,-8.397449568953807,2
66,-18.757920639969253,-7.681695481884617,2
67,-19.11550783490604,-8.235900604071471,2
68,-17.709598876737125,-9.481304445938745,2
69,-17.563384765182636,-8.022911630710732,2
70,-18.819315485764758,-10.34135485574025,2
71,-20.57976478223555,-9.669950637782662,2
72,-17.938632538764075,-9.011123515962066,2
73,-20.165332191194512,-9.138919199740114,2
74,-18.538353564690716,-10.977542691477227,2
75,-17.624100756857334,-9.288585980397508,2
76,-19.67884634473038,-9.041049824888004,2
77,-17.365431432496717,-9.708241447315856,2
78,-17.805960860298434,-8.615842912209299,2
79,-16.53065342825686,-9.172591558017878,2
80,-17.55944394231628,-8.28724541468185,2
81,-17.94825940735672,-6.810990928720955,2
82,-16.805525286098135,-7.5438389520974285,2
83,-16.196048574243076,-9.651538353927076,2
84,-17.16323703627583,-7.7479180328562665,2
85,-18.577960579940655,-6.2716520642725015,2
86,-15.74344605105281,-7.0181493102711086,2
87,-15.949191934944459,-5.6681494618288575,2
88,-15.691474189106572,-5.633173772566109,2
89,-15.519927806720233,-8.407963560149003,2
90,-16.491072429882436,-7.683222836615573,2
91,-16.901584996488598,-7.738390079126242,2
92,-18.12547033934017,-8.571633194367301,2
93,-16.988477072489236,-5.744282736143991,2
94,-16.689213024751307,-7.576291577181464,2
95,-16.63047818569233,-6.127365782868668,2
96,-18.47544211131283,-7.200969331395878,2
97,-16.227963128006675,-7.636573317645908,2
98,-17.67519481898922,-6.0853219570552834,2
99,-15.63090082708743,-5.996891079880517,2
100,-17.246699148793233,-4.750243639749435,2
