PC,explained_variance_ratio,cumulative_variance
PC1,0.08694545347996359,0.08694545347996359
PC2,0.03640699271598723,0.12335244619595082
PC3,0.022417784026144253,0.14577023022209507
PC4,0.017163502864357257,0.16293373308645231
PC5,0.01354084565905654,0.17647457874550884
PC6,0.01191956669110789,0.18839414543661673
PC7,0.010201586839212308,0.19859573227582902
PC8,0.00937781093418129,0.20797354321001033
PC9,0.008941605867793778,0.2169151490778041
PC10,0.008060197203822077,0.2249753462816262
