molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"36294",10,5,0,0,0,16,2,-2,467.518,1.751,658.048,293.450,364.598,0.000,0.000,1296.800,15.000,20.300,0.0023639,0.1194770,0.8739565,35.470,16.226,45.013,42.218,-6.488,2.000,4.577,-7.202,0.054,-2.786,0.016,-10.828,9.325,-1.833,11,-1.316,1,0.000,0.000,0.000,253.724,14,2,18,0,18,16,32,2,0.001
"36294",11,5,0,0,0,16,2,-2,467.518,4.659,684.489,301.622,382.867,0.000,0.000,1312.486,15.000,20.300,0.0165368,0.1148618,0.8469580,36.098,16.485,45.420,42.406,-6.716,2.000,4.577,-7.639,0.036,-3.162,0.011,-11.165,9.298,-1.686,11,-1.471,1,0.000,0.000,0.000,255.543,14,2,18,0,18,16,32,2,0.000
"36294",11,5,0,0,0,16,2,-2,467.518,2.582,689.497,308.325,381.172,0.000,0.000,1317.885,15.000,20.300,0.0050592,0.1140275,0.8431107,36.314,16.523,45.317,42.406,-6.706,2.000,4.577,-7.701,0.037,-3.179,0.011,-11.134,9.250,-1.937,11,-1.492,1,0.000,0.000,0.000,250.899,14,2,18,0,18,16,32,2,0.000
"36294",11,5,0,0,0,16,2,-2,467.518,4.276,685.089,301.240,383.850,0.000,0.000,1308.808,15.000,20.300,0.0139700,0.1147610,0.8446340,35.951,16.460,45.327,42.414,-6.752,2.000,4.577,-7.677,0.035,-3.191,0.010,-11.183,9.122,-2.022,11,-1.486,1,0.000,0.000,0.000,255.400,14,2,18,0,18,16,32,2,0.000
"36294",12,5,0,0,0,16,2,-2,467.518,5.655,696.049,291.917,404.132,0.000,0.000,1315.227,15.000,20.300,0.0243120,0.1129541,0.8340508,36.208,16.669,45.619,42.578,-6.930,2.000,4.577,-7.848,0.023,-3.477,0.006,-11.557,9.437,-1.910,11,-1.546,1,0.000,0.000,0.000,257.711,14,2,18,0,18,16,32,2,0.000
"36294",10,5,0,0,0,16,2,-2,467.518,1.752,658.060,293.444,364.616,0.000,0.000,1296.826,15.000,20.300,0.0023672,0.1194747,0.8739514,35.471,16.226,45.013,42.218,-6.488,2.000,4.577,-7.202,0.054,-2.786,0.016,-10.828,9.325,-1.833,11,-1.316,1,0.000,0.000,0.000,253.722,14,2,18,0,18,16,32,2,0.001
"36294",11,5,0,0,0,16,2,-2,467.518,4.659,684.489,301.622,382.867,0.000,0.000,1312.486,15.000,20.300,0.0165370,0.1148618,0.8469580,36.098,16.485,45.420,42.406,-6.716,2.000,4.577,-7.639,0.036,-3.162,0.011,-11.165,9.298,-1.686,11,-1.471,1,0.000,0.000,0.000,255.543,14,2,18,0,18,16,32,2,0.000
"36294",11,5,0,0,0,16,2,-2,467.518,2.582,689.497,308.325,381.172,0.000,0.000,1317.885,15.000,20.300,0.0050589,0.1140275,0.8431107,36.314,16.523,45.317,42.406,-6.706,2.000,4.577,-7.701,0.037,-3.179,0.011,-11.134,9.250,-1.937,11,-1.492,1,0.000,0.000,0.000,250.899,14,2,18,0,18,16,32,2,0.000
"36294",11,5,0,0,0,16,2,-2,467.518,4.276,685.089,301.240,383.850,0.000,0.000,1308.808,15.000,20.300,0.0139700,0.1147610,0.8446340,35.951,16.460,45.327,42.414,-6.752,2.000,4.577,-7.677,0.035,-3.191,0.010,-11.183,9.122,-2.022,11,-1.486,1,0.000,0.000,0.000,255.400,14,2,18,0,18,16,32,2,0.000
"36294",12,5,0,0,0,16,2,-2,467.518,5.655,696.049,291.917,404.132,0.000,0.000,1315.227,15.000,20.300,0.0243118,0.1129541,0.8340508,36.208,16.669,45.619,42.578,-6.930,2.000,4.577,-7.848,0.023,-3.477,0.006,-11.557,9.437,-1.910,11,-1.546,1,0.000,0.000,0.000,257.711,14,2,18,0,18,16,32,2,0.000
