molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"Bromosulfophthalein",5,0,0,2,0,6,0,-2,794.029,14.690,748.790,0.000,373.222,157.822,217.746,1380.876,2.000,10.500,0.1562784,0.0198310,0.8008935,46.763,16.820,28.330,17.158,2.934,-6.060,-12.306,-1.891,0.184,-3.143,1.142,-7.266,9.928,1.232,2,-0.268,1,17.990,0.000,0.000,196.818,10,1,21,0,21,1,36,2,0.000
"Bromosulfophthalein",5,0,0,2,0,6,0,-2,794.029,14.690,748.790,0.000,373.222,157.822,217.746,1380.876,2.000,10.500,0.1562784,0.0198310,0.8008935,46.763,16.820,28.330,17.158,2.934,-6.060,-12.306,-1.891,0.184,-3.143,1.142,-7.266,9.928,1.232,2,-0.268,1,17.990,0.000,0.000,196.818,10,1,21,0,21,1,36,2,0.000
"Bromosulfophthalein",5,0,0,2,0,6,0,-2,794.029,14.340,746.713,0.000,373.134,155.880,217.700,1379.256,2.000,10.500,0.1490858,0.0198861,0.8024929,46.680,16.785,28.206,17.139,2.924,-6.026,-12.306,-1.856,0.184,-3.127,1.144,-7.271,9.903,1.370,2,-0.271,1,17.947,0.000,0.000,196.788,10,1,21,0,21,1,36,2,0.000
"Ellagic Acid",1,0,0,0,0,4,2,-2,302.197,0.001,446.862,0.000,327.814,119.048,0.000,766.833,4.000,8.000,0.0000000,0.0358052,0.9066894,23.103,9.600,18.334,16.690,-1.339,-1.818,-3.214,-3.610,7.713,-2.336,2.575,-6.758,9.180,1.393,4,-0.652,2,34.986,0.000,0.000,164.675,8,0,16,0,16,0,22,1,0.001
"Ellagic Acid",1,0,0,0,0,4,2,-2,302.197,0.001,446.862,0.000,327.814,119.048,0.000,766.833,4.000,8.000,0.0000000,0.0358052,0.9066894,23.103,9.600,18.334,16.690,-1.339,-1.818,-3.214,-3.610,7.713,-2.336,2.575,-6.758,9.180,1.393,4,-0.652,2,34.986,0.000,0.000,164.675,8,0,16,0,16,0,22,1,0.001
"Ellagic Acid",1,0,0,0,0,4,2,-2,302.197,0.001,446.862,0.000,327.814,119.048,0.000,766.833,4.000,8.000,0.0000000,0.0358052,0.9066894,23.103,9.600,18.334,16.690,-1.339,-1.818,-3.214,-3.610,7.713,-2.336,2.575,-6.758,9.180,1.393,4,-0.652,2,34.986,0.000,0.000,164.675,8,0,16,0,16,0,22,1,0.001
"Epigallocatechin Gallate",5,0,0,0,0,10,1,-2,458.378,6.379,693.877,55.199,421.785,216.893,0.000,1253.713,8.000,8.750,0.0324608,0.0356673,0.8103659,39.670,16.202,31.049,23.863,-0.269,-3.509,-5.549,-5.635,0.991,-4.321,0.280,-7.569,8.884,0.405,10,-0.439,1,0.000,0.000,0.000,212.239,11,2,22,0,22,3,33,2,0.000
"Epigallocatechin Gallate",5,0,0,0,0,10,1,-2,458.378,6.379,693.877,55.199,421.785,216.893,0.000,1253.713,8.000,8.750,0.0324608,0.0356673,0.8103659,39.670,16.202,31.049,23.863,-0.269,-3.509,-5.549,-5.635,0.991,-4.321,0.280,-7.569,8.884,0.405,10,-0.439,1,0.000,0.000,0.000,212.239,11,2,22,0,22,3,33,2,0.000
"Epigallocatechin Gallate",5,0,0,0,0,10,1,-2,458.378,6.379,693.877,55.199,421.785,216.893,0.000,1253.713,8.000,8.750,0.0324612,0.0356673,0.8103659,39.670,16.202,31.049,23.863,-0.269,-3.509,-5.549,-5.635,0.991,-4.321,0.280,-7.569,8.884,0.405,10,-0.439,1,0.000,0.000,0.000,212.239,11,2,22,0,22,3,33,2,0.000
"Testosterone",0,0,0,0,0,1,0,0,288.429,3.715,519.259,390.865,98.943,29.451,0.000,960.776,1.000,3.700,0.0143660,0.0071255,0.9068365,31.935,8.515,13.818,6.731,3.320,-4.100,-3.703,-3.180,1141.894,-0.299,571.001,-3.143,10.231,0.218,3,0.499,3,100.000,0.000,0.000,50.858,2,0,17,0,17,14,21,0,0.011
"Apigenin",0,0,0,0,0,3,0,-2,270.241,5.314,491.668,0.000,203.372,288.296,0.000,820.651,2.000,3.750,0.0344164,0.0107863,0.8621821,27.515,9.706,14.732,10.208,1.632,-3.357,-4.101,-5.137,116.767,-1.441,48.555,-3.964,8.999,0.768,3,-0.032,3,73.499,0.000,0.000,99.665,5,0,16,0,16,0,20,0,0.013
"Apigenin",0,0,0,0,0,3,0,-2,270.241,5.315,491.668,0.000,203.372,288.296,0.000,820.651,2.000,3.750,0.0344169,0.0107863,0.8621821,27.515,9.706,14.732,10.208,1.632,-3.357,-4.101,-5.137,116.767,-1.441,48.555,-3.964,8.999,0.768,3,-0.032,3,73.499,0.000,0.000,99.665,5,0,16,0,16,0,20,0,0.013
"Hispidulin",0,0,0,0,0,4,0,-2,300.267,7.676,525.868,87.607,182.537,255.725,0.000,894.649,2.000,4.500,0.0658567,0.0121018,0.8538666,29.524,10.031,16.071,10.445,1.913,-3.581,-4.429,-5.116,184.037,-1.347,79.396,-3.599,8.909,0.752,4,-0.003,3,78.687,0.000,0.000,103.915,6,0,16,0,16,0,22,0,0.020
"Hispidulin",0,0,0,0,0,4,0,-2,300.267,7.676,525.868,87.607,182.537,255.725,0.000,894.649,2.000,4.500,0.0658567,0.0121018,0.8538666,29.524,10.031,16.071,10.445,1.913,-3.581,-4.429,-5.116,184.037,-1.347,79.396,-3.599,8.909,0.752,4,-0.003,3,78.687,0.000,0.000,103.915,6,0,16,0,16,0,22,0,0.020
"Salvigenin",0,0,0,0,0,4,0,0,328.321,7.835,575.236,266.807,86.329,222.100,0.000,1002.054,0.000,4.500,0.0612686,0.0000000,0.8418723,33.501,9.675,13.947,6.752,3.304,-4.111,-4.917,-5.150,1503.979,-0.490,769.002,-1.944,8.967,0.788,4,0.153,3,100.000,0.000,0.000,77.067,6,0,16,0,16,0,24,0,0.290
"Demethylnobiletin",0,0,0,0,0,6,0,0,388.373,4.824,630.800,396.188,89.643,144.969,0.000,1149.523,0.000,6.000,0.0202459,0.0000000,0.8413022,37.382,10.555,15.420,7.419,3.422,-4.052,-5.497,-4.791,1398.996,-0.642,711.149,-2.085,8.688,0.841,6,0.095,3,100.000,0.000,0.000,89.415,8,0,16,0,16,0,28,0,0.283
"Tamarixetin",0,0,0,0,0,5,0,-2,316.267,5.093,546.301,92.672,238.197,215.432,0.000,924.314,3.000,5.250,0.0280598,0.0166451,0.8399996,29.684,10.608,17.608,12.582,1.211,-3.466,-4.401,-5.148,54.585,-1.988,21.344,-4.671,8.798,0.617,5,-0.148,3,65.126,0.000,0.000,128.555,7,0,16,0,16,0,23,0,0.002
"Tamarixetin",0,0,0,0,0,5,0,-2,316.267,5.093,546.301,92.672,238.197,215.432,0.000,924.314,3.000,5.250,0.0280616,0.0166451,0.8399996,29.684,10.608,17.608,12.582,1.211,-3.466,-4.401,-5.148,54.585,-1.988,21.344,-4.671,8.798,0.617,5,-0.148,3,65.126,0.000,0.000,128.555,7,0,16,0,16,0,23,0,0.002
"Isosinensetin",0,0,0,0,0,5,0,0,372.374,3.369,635.361,407.624,50.972,176.765,0.000,1161.364,0.000,6.250,0.0097709,0.0000000,0.8409891,38.801,10.616,15.805,7.850,3.682,-4.171,-5.041,-4.948,3254.889,-0.218,1771.499,-1.356,8.781,0.753,5,0.105,3,100.000,0.000,0.000,71.351,7,0,16,0,16,0,27,0,1.107
"Tricin",0,0,0,0,0,5,0,-2,330.293,5.730,569.207,183.513,201.801,183.893,0.000,978.474,2.000,5.250,0.0335528,0.0130438,0.8373905,31.550,10.431,16.654,10.710,1.919,-3.941,-4.751,-5.040,120.843,-1.656,50.389,-4.111,8.760,0.812,5,0.038,3,75.452,0.000,0.000,114.167,7,0,16,0,16,0,24,0,0.003
"Tricin",0,0,0,0,0,5,0,-2,330.293,5.730,569.207,183.513,201.801,183.893,0.000,978.474,2.000,5.250,0.0335525,0.0130438,0.8373905,31.550,10.431,16.654,10.710,1.919,-3.941,-4.751,-5.040,120.843,-1.656,50.389,-4.111,8.760,0.812,5,0.038,3,75.452,0.000,0.000,114.167,7,0,16,0,16,0,24,0,0.003
"5,7-Dihydroxychromone",0,0,0,0,0,2,0,-1,178.144,3.845,348.604,0.000,148.795,199.810,0.000,550.731,1.000,3.000,0.0268432,0.0086057,0.9320914,16.510,6.239,8.663,6.908,0.713,-1.385,-2.271,-3.584,384.485,-0.699,176.057,-3.366,9.321,0.445,2,-0.482,3,77.385,0.000,0.000,78.974,4,0,10,0,10,0,13,0,3.158
"5,7-Dihydroxychromone",0,0,0,0,0,2,0,-1,178.144,3.845,348.604,0.000,148.795,199.810,0.000,550.731,1.000,3.000,0.0268432,0.0086057,0.9320914,16.510,6.239,8.663,6.908,0.713,-1.385,-2.271,-3.584,384.485,-0.699,176.057,-3.366,9.321,0.445,2,-0.482,3,77.385,0.000,0.000,78.974,4,0,10,0,10,0,13,0,3.158
"Rhamnocitrin",0,0,0,0,0,4,0,-2,300.267,4.942,531.080,92.747,183.975,254.357,0.000,897.275,2.000,4.500,0.0272234,0.0119830,0.8471403,29.616,10.029,15.559,10.458,1.914,-3.668,-4.429,-5.218,178.345,-1.387,76.745,-3.630,8.914,0.574,4,-0.001,3,78.444,0.000,0.000,106.873,6,0,16,0,16,0,22,0,0.015
"Rhamnocitrin",0,0,0,0,0,4,0,-2,300.267,4.942,531.080,92.747,183.975,254.357,0.000,897.275,2.000,4.500,0.0272243,0.0119830,0.8471403,29.616,10.029,15.559,10.458,1.914,-3.668,-4.429,-5.218,178.345,-1.387,76.745,-3.630,8.914,0.574,4,-0.001,3,78.444,0.000,0.000,106.873,6,0,16,0,16,0,22,0,0.015
"Homoplantaginin",1,0,0,0,0,10,1,-2,462.409,8.827,698.924,184.233,302.258,212.434,0.000,1284.174,5.000,13.000,0.0606696,0.0415909,0.8174934,40.846,14.918,29.220,22.824,-0.156,-3.176,-4.370,-5.498,13.477,-3.055,4.706,-5.382,8.890,0.728,7,-0.676,2,20.335,0.000,0.000,182.743,11,2,22,0,22,5,33,2,0.001
"Sophoraflavanone G",1,0,0,0,0,9,0,-2,424.493,4.980,711.046,310.619,221.269,179.158,0.000,1320.615,3.000,4.750,0.0187810,0.0115706,0.8186880,42.629,13.990,21.504,11.241,3.890,-5.691,-6.571,-5.320,78.997,-2.180,31.827,-4.102,9.093,0.326,12,0.746,1,83.683,0.000,0.000,116.486,6,0,16,0,16,2,31,1,0.000
"3'-Methoxypuerarin",1,0,0,0,0,9,0,-2,446.410,3.275,707.117,201.334,281.786,223.997,0.000,1270.357,6.000,13.250,0.0084434,0.0458987,0.8022152,41.046,14.984,30.042,24.715,-0.321,-3.393,-3.950,-5.801,21.073,-2.898,7.629,-5.060,8.803,0.735,10,-0.739,1,35.799,0.000,0.000,174.651,10,1,22,0,22,5,32,2,0.002
"3'-Methoxypuerarin",1,0,0,0,0,9,0,-2,446.410,3.275,707.117,201.334,281.786,223.997,0.000,1270.357,6.000,13.250,0.0084432,0.0458987,0.8022152,41.046,14.984,30.042,24.715,-0.321,-3.393,-3.950,-5.801,21.073,-2.898,7.629,-5.060,8.803,0.735,10,-0.739,1,35.799,0.000,0.000,174.651,10,1,22,0,22,5,32,2,0.002
"Robinetin",0,0,0,0,0,5,0,-2,302.240,5.241,519.087,0.000,293.755,225.332,0.000,868.226,5.000,6.250,0.0316397,0.0269231,0.8479047,27.534,10.991,20.658,16.876,-0.159,-2.651,-3.656,-5.068,16.226,-2.462,5.752,-5.660,8.863,0.815,5,-0.502,2,47.676,0.000,0.000,144.623,7,0,16,0,16,0,22,1,0.001
"Robinetin",0,0,0,0,0,5,0,-2,302.240,5.241,519.087,0.000,293.755,225.332,0.000,868.226,5.000,6.250,0.0316396,0.0269231,0.8479047,27.534,10.991,20.658,16.876,-0.159,-2.651,-3.656,-5.068,16.226,-2.462,5.752,-5.660,8.863,0.815,5,-0.502,2,47.676,0.000,0.000,144.623,7,0,16,0,16,0,22,1,0.001
"Robinetin",0,0,0,0,0,5,0,-2,302.240,5.241,519.087,0.000,293.755,225.332,0.000,868.226,5.000,6.250,0.0316395,0.0269231,0.8479047,27.534,10.991,20.658,16.876,-0.159,-2.651,-3.656,-5.068,16.226,-2.462,5.752,-5.660,8.863,0.815,5,-0.502,2,47.676,0.000,0.000,144.623,7,0,16,0,16,0,22,1,0.001
"3'-Hydroxypuerarin",4,0,0,0,0,9,0,-2,432.383,6.237,677.571,97.854,342.574,237.143,0.000,1208.837,7.000,13.250,0.0321834,0.0517380,0.8099444,38.709,15.137,31.341,26.611,-1.169,-3.015,-3.651,-5.738,5.588,-3.460,1.817,-6.134,8.608,0.689,10,-0.849,1,20.519,0.000,0.000,188.150,10,1,22,0,22,5,31,2,0.000
"3'-Hydroxypuerarin",4,0,0,0,0,9,0,-2,432.383,6.237,677.571,97.854,342.574,237.143,0.000,1208.837,7.000,13.250,0.0321823,0.0517380,0.8099444,38.709,15.137,31.341,26.611,-1.169,-3.015,-3.651,-5.738,5.588,-3.460,1.817,-6.134,8.608,0.689,10,-0.849,1,20.519,0.000,0.000,188.150,10,1,22,0,22,5,31,2,0.000
"4'-Methoxypuerarin",1,0,0,0,0,8,0,-2,430.410,3.508,690.786,190.496,240.799,259.491,0.000,1239.334,5.000,12.500,0.0099299,0.0404624,0.8077566,40.785,14.414,28.014,22.655,0.226,-3.497,-3.973,-5.880,51.571,-2.379,20.073,-4.275,8.796,0.631,9,-0.636,2,58.916,0.000,0.000,152.458,9,0,22,0,22,5,31,1,0.007
