title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"36294",1,Done,0.64,-6.96458,"glide-grid_Ab3ANT_avrg",-7.22458,-0.285266,-0.63742,-0,-1.45398,-15.9165,-46.4854,0.316932,-0.369017,-128.132,-62.4019,9.05758
"36294",2,Done,0.328,-4.9869,"glide-grid_Ab3ANT_avrg",-6.2984,-0.00882229,-0.516446,-0,-0.869003,-17.316,-36.4129,0.318169,-0.356498,-103.293,-53.7289,7.80828
"36294",3,Done,0.266,-5.35673,"glide-grid_Ab3ANT_avrg",-6.93043,-0.0844512,-1.00961,-0,-1.22828,-11.6164,-51.8807,0.318169,-0.345434,-125.66,-63.4971,14.2537
"36294",4,Done,0.281,-5.62765,"glide-grid_Ab3ANT_avrg",-7.23605,-0.0796338,-0.855598,-0,-1.704,-11.9188,-45.5477,0.318169,-0.319051,-121.21,-57.4665,7.73616
"36294",5,Done,0.344,-5.72058,"glide-grid_Ab3ANT_avrg",-7.39378,-0.00184845,-0.956967,-0,-1.7057,-14.1265,-43.0373,0.318169,-0.341104,-119.9,-57.1637,12.9709
"36294",6,Done,0.234,-7.22254,"glide-grid_Ab3ANT_avrg",-7.48254,-0.433927,-0.638349,-0,-1.47417,-18.0502,-44.657,0.316932,-0.35052,-130.837,-62.7072,8.05919
"36294",7,Done,0.282,-4.9869,"glide-grid_Ab3ANT_avrg",-6.2984,-0.00882229,-0.516446,-0,-0.869003,-17.316,-36.4129,0.318169,-0.356498,-103.293,-53.7289,7.80828
"36294",8,Done,0.187,-5.35673,"glide-grid_Ab3ANT_avrg",-6.93043,-0.0844512,-1.00961,-0,-1.22828,-11.6164,-51.8807,0.318169,-0.345434,-125.66,-63.4971,14.2537
"36294",9,Done,0.188,-5.62765,"glide-grid_Ab3ANT_avrg",-7.23605,-0.0796338,-0.855598,-0,-1.704,-11.9188,-45.5477,0.318169,-0.319051,-121.21,-57.4665,7.73616
"36294",10,Done,0.343,-5.72058,"glide-grid_Ab3ANT_avrg",-7.39378,-0.00184845,-0.956967,-0,-1.7057,-14.1265,-43.0373,0.318169,-0.341104,-119.9,-57.1637,12.9709
"36294",11,Done,0.219,-6.26839,"glide-grid_Ab3ANT_avrg",-6.52839,-0.0894702,-0.620398,-0,-1.44123,-8.49562,-47.2048,0.316932,-0.269443,-113.643,-55.7004,10.2493
"36294",12,Done,0.235,-4.9869,"glide-grid_Ab3ANT_avrg",-6.2984,-0.00882229,-0.516446,-0,-0.869003,-17.316,-36.4129,0.318169,-0.356498,-103.293,-53.7289,7.80828
