title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"36294",1,Done,3.531,-7.45421,"glide-grid_Ab3ANT_avrg",-7.71421,-0.354541,-1.16434,-0,-1.46872,-12.5616,-59.483,0.316932,-0.415453,-152.021,-72.0445,13.7583
"36294",2,Done,2.891,-6.14239,"glide-grid_Ab3ANT_avrg",-7.45389,-0.220993,-1.26524,-0,-1.25318,-14.251,-50.359,0.318169,-0.320094,-133.856,-64.61,9.34408
"36294",3,Done,2.734,-5.58562,"glide-grid_Ab3ANT_avrg",-7.15932,0,-0.961088,-0,-1.479,-15.5258,-47.1765,0.318169,-0.261109,-130.682,-62.7023,5.29225
"36294",4,Done,2.703,-6.18504,"glide-grid_Ab3ANT_avrg",-7.79344,-0.447878,-0.960679,-0,-1.49624,-16.3123,-49.5988,0.318169,-0.391192,-136.103,-65.9112,6.73642
"36294",5,Done,2.391,-5.56011,"glide-grid_Ab3ANT_avrg",-7.23331,-0.0903023,-0.57389,-0,-1.704,-17.5828,-40.9095,0.318169,-0.304142,-115.318,-58.4924,9.6713
"42613186",6,Done,52.078,-7.57017,"glide-grid_Ab3ANT_avrg",-8.06467,-0.55471,-0.950495,-0,-1.285,-26.9749,-50.6288,0.415228,-0.340951,-148.694,-77.6037,15.2806
"42613186",7,Done,45.344,-6.96799,"glide-grid_Ab3ANT_avrg",-7.87469,-0.450912,-0.574959,-0,-1.51,-26.4533,-44.4702,0.4131,-0.429252,-145.204,-70.9235,13.5818
"42613186",8,Done,47.39,-6.62492,"glide-grid_Ab3ANT_avrg",-7.66742,-0.496534,-0.679447,-0,-0.98,-31.2678,-40.3447,0.415228,-0.363282,-140.721,-71.6124,22.253
"42613186",9,Done,50.516,-5.44346,"glide-grid_Ab3ANT_avrg",-6.77176,-0.41879,-0.554158,-0,-0.675,-24.641,-37.9788,0.417368,-0.309129,-109.576,-62.6199,12.2834
"42613186",10,Done,62.187,-5.39533,"glide-grid_Ab3ANT_avrg",-7.72063,-0.109701,-1.11912,-0,-1.285,-24.2611,-42.9339,0.417368,-0.411117,-128.716,-67.1951,11.6767
"42613186",11,Done,49.203,-7.57017,"glide-grid_Ab3ANT_avrg",-8.06467,-0.55471,-0.950495,-0,-1.285,-26.9749,-50.6288,0.415228,-0.340951,-148.694,-77.6037,15.2806
"42613186",12,Done,44.844,-6.96799,"glide-grid_Ab3ANT_avrg",-7.87469,-0.450912,-0.574959,-0,-1.51,-26.4533,-44.4702,0.4131,-0.429252,-145.204,-70.9235,13.5818
"42613186",13,Done,48.735,-6.62492,"glide-grid_Ab3ANT_avrg",-7.66742,-0.496534,-0.679447,-0,-0.98,-31.2678,-40.3447,0.415228,-0.363282,-140.721,-71.6124,22.253
"42613186",14,Done,50.5,-5.44346,"glide-grid_Ab3ANT_avrg",-6.77176,-0.41879,-0.554158,-0,-0.675,-24.641,-37.9788,0.417368,-0.309129,-109.576,-62.6199,12.2834
"42613186",15,Done,62.828,-5.39533,"glide-grid_Ab3ANT_avrg",-7.72063,-0.109701,-1.11912,-0,-1.285,-24.2611,-42.9339,0.417368,-0.411117,-128.716,-67.1951,11.6767
"62404",16,Done,26.984,-7.79304,"glide-grid_Ab3ANT_avrg",-8.47874,-0.0277113,-1.11435,-0,-1.96,-19.3227,-67.5941,0.175829,-0.586372,-182.173,-86.9168,12.4885
"62404",17,Done,17.953,-7.1501,"glide-grid_Ab3ANT_avrg",-8.1362,0,-1.01501,-0,-1.815,-21.0885,-61.1789,0.177136,-0.428898,-158.21,-82.2675,13.8094
