title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"36294",1,Done,0.625,-6.41895,"glide-grid_Sa3ANT_avrg",-6.67895,-0.233338,-0.611357,-0,-1.47213,-6.91494,-40.9791,0.316932,-0.333313,-75.1236,-47.894,12.1676
"36294",2,Done,0.157,-5.94694,"glide-grid_Sa3ANT_avrg",-7.25844,-0.0704142,-1.12236,-0,-1.784,-3.95664,-42.8158,0.318169,-0.401999,-81.41,-46.7724,8.59133
"36294",3,Done,0.187,-5.02907,"glide-grid_Sa3ANT_avrg",-6.60277,-0.0197164,-0.552144,-0,-1.254,-16.6287,-28.8511,0.318169,-0.263643,-76.7341,-45.4798,9.04061
"36294",4,Done,0.219,-5.21357,"glide-grid_Sa3ANT_avrg",-6.82197,-0.138219,-0.549871,-0,-1.254,-18.9255,-32.0928,0.318169,-0.251772,-85.0479,-51.0183,14.3425
"36294",5,Done,0.281,-5.3311,"glide-grid_Sa3ANT_avrg",-7.0043,-0.225535,-0.577159,-0,-1.479,-13.5327,-41.6892,0.318169,-0.364138,-97.5167,-55.2218,14.2027
"36294",6,Done,0.266,-5.81311,"glide-grid_Sa3ANT_avrg",-6.07311,-0.0269804,-0.542481,-0,-0.942131,-7.4327,-37.5593,0.316932,-0.506811,-72.2929,-44.992,18.7314
"36294",7,Done,0.234,-5.94694,"glide-grid_Sa3ANT_avrg",-7.25844,-0.0704142,-1.12236,-0,-1.784,-3.95664,-42.8158,0.318169,-0.401999,-81.41,-46.7724,8.59133
"36294",8,Done,0.188,-5.02907,"glide-grid_Sa3ANT_avrg",-6.60277,-0.0197164,-0.552144,-0,-1.254,-16.6287,-28.8511,0.318169,-0.263643,-76.7341,-45.4798,9.04061
"36294",9,Done,0.218,-5.21357,"glide-grid_Sa3ANT_avrg",-6.82197,-0.138219,-0.549871,-0,-1.254,-18.9255,-32.0928,0.318169,-0.251772,-85.0479,-51.0183,14.3425
"36294",10,Done,0.297,-5.3311,"glide-grid_Sa3ANT_avrg",-7.0043,-0.225535,-0.577159,-0,-1.479,-13.5327,-41.6892,0.318169,-0.364138,-97.5167,-55.2218,14.2027
"36294",11,Done,0.25,-5.62392,"glide-grid_Sa3ANT_avrg",-5.88392,-0.0476662,-0.360904,-0,-0.942131,-6.84151,-35.719,0.316932,-0.508079,-70.0045,-42.5605,19.4984
"36294",12,Done,0.234,-5.94694,"glide-grid_Sa3ANT_avrg",-7.25844,-0.0704142,-1.12236,-0,-1.784,-3.95664,-42.8158,0.318169,-0.401999,-81.41,-46.7724,8.59133
"36294",13,Done,0.188,-5.02907,"glide-grid_Sa3ANT_avrg",-6.60277,-0.0197164,-0.552144,-0,-1.254,-16.6287,-28.8511,0.318169,-0.263643,-76.7341,-45.4798,9.04061
"36294",14,Done,0.25,-5.21357,"glide-grid_Sa3ANT_avrg",-6.82197,-0.138219,-0.549871,-0,-1.254,-18.9255,-32.0928,0.318169,-0.251772,-85.0479,-51.0183,14.3425
"36294",15,Done,0.281,-5.3311,"glide-grid_Sa3ANT_avrg",-7.0043,-0.225535,-0.577159,-0,-1.479,-13.5327,-41.6892,0.318169,-0.364138,-97.5167,-55.2218,14.2027
"36294",16,Done,0.219,-6.49171,"glide-grid_Sa3ANT_avrg",-6.75171,-0.247143,-0.743374,-0,-1.47213,-3.6195,-43.1023,0.316932,-0.425014,-82.4636,-46.7218,13.5201
"36294",17,Done,0.187,-5.94694,"glide-grid_Sa3ANT_avrg",-7.25844,-0.0704142,-1.12236,-0,-1.784,-3.95664,-42.8158,0.318169,-0.401999,-81.41,-46.7724,8.59133
"36294",18,Done,0.188,-5.02907,"glide-grid_Sa3ANT_avrg",-6.60277,-0.0197164,-0.552144,-0,-1.254,-16.6287,-28.8511,0.318169,-0.263643,-76.7341,-45.4798,9.04061
"36294",19,Done,0.281,-5.21357,"glide-grid_Sa3ANT_avrg",-6.82197,-0.138219,-0.549871,-0,-1.254,-18.9255,-32.0928,0.318169,-0.251772,-85.0479,-51.0183,14.3425
"36294",20,Done,0.343,-5.3311,"glide-grid_Sa3ANT_avrg",-7.0043,-0.225535,-0.577159,-0,-1.479,-13.5327,-41.6892,0.318169,-0.364138,-97.5167,-55.2218,14.2027
"36294",21,Done,0.25,-6.70276,"glide-grid_Sa3ANT_avrg",-6.96276,-0.488375,-0.407129,-0,-1.72213,-6.28479,-32.2178,0.316932,-0.347813,-73.3059,-38.5026,17.9643
"36294",22,Done,0.172,-5.94694,"glide-grid_Sa3ANT_avrg",-7.25844,-0.0704142,-1.12236,-0,-1.784,-3.95664,-42.8158,0.318169,-0.401999,-81.41,-46.7724,8.59133
"36294",23,Done,0.172,-5.02907,"glide-grid_Sa3ANT_avrg",-6.60277,-0.0197164,-0.552144,-0,-1.254,-16.6287,-28.8511,0.318169,-0.263643,-76.7341,-45.4798,9.04061
