title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"36119",1,Done,2.891,-7.42581,"glide-grid_Sa3ANT_avrg",-8.10181,-0.0882732,-0.819011,-0,-1.83341,-22.4216,-40.6665,0.27432,-0.514354,-119.635,-63.088,10.7394
"36119",2,Done,2.062,-7.5232,"glide-grid_Sa3ANT_avrg",-8.2764,-0.162342,-0.935965,-0,-2.14529,-16.6915,-48.2134,0.275435,-0.473672,-113.134,-64.9049,11.5672
"36119",3,Done,2.579,-6.01397,"glide-grid_Sa3ANT_avrg",-7.13937,-0.128065,-0.780822,-0,-1.31029,-16.6749,-40.9482,0.275435,-0.361887,-97.8551,-57.6231,5.87031
"36119",4,Done,2.562,-6.15844,"glide-grid_Sa3ANT_avrg",-7.96294,-0.0645511,-0.957145,-0,-1.62216,-24.2242,-35.6776,0.276557,-0.384438,-98.5481,-59.9018,11.7259
"36119",5,Done,2.266,-5.21411,"glide-grid_Sa3ANT_avrg",-7.15871,-0.254494,-0.773513,-0,-1.31029,-15.8464,-37.4533,0.275435,-0.303537,-94.8105,-53.2997,7.80775
"36119",6,Done,2.672,-5.3694,"glide-grid_Sa3ANT_avrg",-7.383,-0.0822738,-0.670376,-0,-1.31029,-23.5897,-36.4375,0.275435,-0.416013,-102.137,-60.0272,8.30162
"36119",7,Done,2.718,-5.13241,"glide-grid_Sa3ANT_avrg",-7.26631,-0.0973443,-0.69665,-0,-1.31716,-20.8251,-38.0246,0.276557,-0.390459,-103.524,-58.8497,3.94813
"36119",8,Done,2.563,-5.04713,"glide-grid_Sa3ANT_avrg",-7.20293,-0.303951,-0.637774,-0,-1.09216,-21.128,-31.4606,0.276557,-0.389203,-90.8276,-52.5886,8.14305
"36119",9,Done,2.422,-4.31929,"glide-grid_Sa3ANT_avrg",-6.75009,-0.0784667,-0.739504,-0,-0.867158,-21.0853,-34.2485,0.276557,-0.287255,-85.0881,-55.3338,9.87274
"36119",10,Done,2.656,-4.54561,"glide-grid_Sa3ANT_avrg",-7.01121,-0.0842089,-0.649617,-0,-1.09216,-22.8592,-36.3616,0.276557,-0.318823,-95.5693,-59.2207,14.4551
"36119",11,Done,2.891,-5.19866,"glide-grid_Sa3ANT_avrg",-7.68736,-0.0984762,-0.810311,-0,-1.61529,-20.6093,-40.7415,0.275435,-0.408259,-108.249,-61.3508,9.40414
"36119",12,Done,2.875,-7.42581,"glide-grid_Sa3ANT_avrg",-8.10181,-0.0882732,-0.819011,-0,-1.83341,-22.4216,-40.6665,0.27432,-0.514354,-119.635,-63.088,10.7394
"36119",13,Done,2.406,-7.5232,"glide-grid_Sa3ANT_avrg",-8.2764,-0.162342,-0.935965,-0,-2.14529,-16.6915,-48.2134,0.275435,-0.473672,-113.134,-64.9049,11.5672
"36119",14,Done,2.797,-6.01397,"glide-grid_Sa3ANT_avrg",-7.13937,-0.128065,-0.780822,-0,-1.31029,-16.6749,-40.9482,0.275435,-0.361887,-97.8551,-57.6231,5.87031
"36119",15,Done,2.328,-6.15844,"glide-grid_Sa3ANT_avrg",-7.96294,-0.0645511,-0.957145,-0,-1.62216,-24.2242,-35.6776,0.276557,-0.384438,-98.5481,-59.9018,11.7259
"36119",16,Done,2.219,-5.21411,"glide-grid_Sa3ANT_avrg",-7.15871,-0.254494,-0.773513,-0,-1.31029,-15.8464,-37.4533,0.275435,-0.303537,-94.8105,-53.2997,7.80775
"36119",17,Done,2.687,-5.3694,"glide-grid_Sa3ANT_avrg",-7.383,-0.0822738,-0.670376,-0,-1.31029,-23.5897,-36.4375,0.275435,-0.416013,-102.137,-60.0272,8.30162
