r_qp_QPlogKhsa,r_epik_Ionization_Penalty_Neutral,i_i_glide_posenum,i_sd_PUBCHEM\_SUBSTANCE\_ID,i_lp_mmshare_version,s_vsw_variant,r_qp_QPlogPoct,r_i_glide_rewards,r_i_glide_einternal,s_lp_Force_Field,i_qp_#in34,s_epik_Chemistry_Notes,r_i_glide_emodel,i_qp_#rotor,r_i_glide_hbond,r_lp_Energy,r_i_docking_score,s_sd_PUBCHEM\_EXT\_SUBSTANCE\_URL,i_f3d_flags,i_m_source_file_index,i_qp_CNS,i_sd_PUBCHEM\_COMPOUND\_ID\_TYPE,b_sd_chiral_flag,i_sd_version,i_sd_PUBCHEM\_EXT\_DATASOURCE\_REGID,i_qp_#stars,s_lp_Variant,i_qp_#nonHatm,i_m_ct_stereo_status,r_qp_volume,s_m_title,i_sd_PUBCHEM\_TOTAL\_CHARGE,r_qp_EA(eV),r_epik_Charging_Adjusted_Penalty,r_epik_State_Penalty,r_qp_QPlogPw,i_qp_HumanOralAbsorption,i_qp_#rtvFG,r_i_glide_gscore,r_i_glide_eff_state_penalty,i_sd_PUBCHEM\_SUBSTANCE\_VERSION,r_qp_WPSA,i_epik_Tot_abs_Q,i_sd_PUBCHEM\_EXT\_DATASOURCE\_NAME,i_qp_#amidine,r_qp_FISA,r_qp_accptHB,s_vsw_compound_code,s_m_source_file,i_qp_#metab,s_sd_PUBCHEM\_EXT\_DATASOURCE\_REGID,s_lp_label,r_qp_CIQPlogS,r_qp_QPlogHERG,r_qp_QPlogS,i_i_glide_rotatable_bonds,i_qp_#amide,r_qp_FOSA,s_sd_PUBCHEM\_EXT\_DATASOURCE\_URL,r_i_glide_lipo,i_i_glide_confnum,r_qp_QPlogKp,i_m_ct_enhanced_stereo_status,s_epik_cmdline,s_epik_input,r_qp_QPlogBB,r_qp_Jm,r_qp_PISA,i_qp_#amine,r_i_glide_ligand_efficiency_sa,i_m_ct_format,i_qp_#acid,s_sd_PUBCHEM\_SUBSTANCE\_SYNONYM,r_qp_PercentHumanOralAbsorption,r_i_glide_ligand_efficiency_ln,r_i_glide_metal,r_qp_QPlogPC16,i_epik_Tot_Q,r_i_glide_ligand_efficiency,s_i_glide_gridfile,r_qp_dip^2/V,r_epik_Ionization_Penalty,r_qp_SAamideO,r_qp_QPPMDCK,r_qp_dipole,r_qp_QPpolrz,r_i_glide_esite,s_sd_PUBCHEM\_CID\_ASSOCIATIONS,r_qp_QPPCaco,s_sd_PUBCHEM\_XREF\_EXT\_ID,r_i_glide_ecoul,i_qp_#noncon,r_i_glide_energy,r_qp_IP(eV),i_i_glide_lignum,r_qp_donorHB,i_qp_RuleOfFive,r_qp_ACxDN^.5/SA,r_qp_SASA,r_qp_SAfluorine,i_qp_#ringatoms,i_qp_RuleOfThree,r_i_glide_evdw,i_qp_#in56,r_qp_mol_MW,i_qp_#NandO,r_qp_PSA,i_sd_PUBCHEM\_XREF\_EXT\_ID,r_i_glide_erotb,b_lp_Chiralities_Consistent,r_qp_QPlogPo/w,r_epik_Ionization_Penalty_Charging,r_qp_glob
-2.375,0.0002,113,489139383,56135,1061-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1061,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1061,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1061_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194725,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,221,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1125-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1125,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1125,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1125_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194724,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,51,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1157-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1157,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1157,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1157_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194724,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,91,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1189-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1189,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1189,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1189_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194725,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,151,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1221-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1221,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1221,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1221_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194725,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,201,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1253-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1253,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1253,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1253_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194724,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,261,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1285-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1285,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1285,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1285_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194725,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,31,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1317-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1317,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1317,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1317_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194725,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,111,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1349-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1349,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1349,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1349_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737379709941e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194724,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,171,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
-2.375,0.0002,113,489139383,56135,1381-1,59.434,-2.875,43.6740608215332,OPLS_2005,0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",-199.509890763487,22,-1.42161324074286,151.443952,-9.10571351115104,,0,1381,-2,0,1,0,,14,489139383-1,42,1,1665.451,489139383,0,-1.315,1.41141854433771,0.6776,56.008,1,3,-9.78331351115104,0.6776,1,0.0,6,25168,0,522.19,28.1,1381,vsw_Neomycin_Analog_AbANT_Avrg_2nd-LIGPREP-001-in.maegz,15,ZEROPMID0115667,1381_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,6.139,-9.376,2.0,16,0,343.931,https://zeropm.eu/,0.0,693,-13.156,2,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzIuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1bQ0gyXVtDQEhdMVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0BASF0oW05IMl0pW0NASF0oTzEpT1tDQEhdKFtDQEhdKFtOSDJdKVtDSDJdW0NASF0yW05IMl0pW0NAQEhdKFtDQEBIXTJbT0hdKU9bQ0BASF0oTzMpW0NASF0oW09IXSlbQ0BIXShbQ0BASF0zW0NIMl1bT0hdKU9bQ0BASF0oTzQpW0NASF0oW05IMl0pW0NAQEhdKFtPSF0pW0NAQEhdKFtPSF0pW0NAQEhdNFtDSDJdW05IMl0=,-5.622,4.28737394443618e-06,0.0,6,-0.753611970143548,2,0,OIXVKQDWLFHVGR-GQTDVWSESA-N,0.0,-1.92198153201961,-0.0,21.736,6,-0.216802702646453,glide-grid_Ab3ANT_avrg,0.0194725,0.734,0.0,0.0,5.695,46.371,-0.672128341438074,"62403  1
1118  2
62404  2",0.002,ZEROPMID0115667,-64.6478881835938,20,-84.4558982849121,9.32,271,19.0,3,0.141418,866.121,0.0,23,2,-19.8080101013184,23,614.649,19,332.473,,0.175828576095814,1,-9.725,0.7338,0.7845266
