title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Bromosulfophthalein",1,Done,0.578,-2.7487,"glide-grid_Ab3ANT_avrg",-2.8154,-0.0199549,0,-0,-0.0230856,-21.8696,-9.86606,0.0693563,-0.268328,-36.8231,-31.7356,4.57648
"Bromosulfophthalein",2,Done,0.172,-2.7487,"glide-grid_Ab3ANT_avrg",-2.8154,-0.0199549,0,-0,-0.0230856,-21.8696,-9.86606,0.0693563,-0.268328,-36.8231,-31.7356,4.57648
"Bromosulfophthalein",3,Done,0.14,-1.67138,"glide-grid_Ab3ANT_avrg",-1.73808,-0.0119636,-0.0563879,-0,-0.00028502,-27.3874,-0.35808,0.0693563,-0.315716,-27.7569,-27.7455,7.9253
"Ellagic Acid",4,Done,0.079,-3.68977,"glide-grid_Ab3ANT_avrg",-3.76067,0,0,-0,-1.34869,-17.759,-10.1602,0,0,-35.9492,-27.9192,2.19416
"Ellagic Acid",5,Done,0.062,-3.68977,"glide-grid_Ab3ANT_avrg",-3.76067,0,0,-0,-1.34869,-17.759,-10.1602,0,0,-35.9492,-27.9192,2.19416
"Ellagic Acid",6,Done,0.109,-3.68977,"glide-grid_Ab3ANT_avrg",-3.76067,0,0,-0,-1.34869,-17.759,-10.1602,0,0,-35.9492,-27.9192,2.19416
"Epigallocatechin Gallate",7,Done,0.25,-3.85704,"glide-grid_Ab3ANT_avrg",-3.92954,-0.413493,-0.0806316,-0,-0.283829,-34.494,-11.8339,0.3829,-0.0346972,-59.8213,-46.328,3.55955
"Epigallocatechin Gallate",8,Done,0.36,-3.85704,"glide-grid_Ab3ANT_avrg",-3.92954,-0.413493,-0.0806316,-0,-0.283829,-34.494,-11.8339,0.3829,-0.0346972,-59.8213,-46.328,3.55955
"Epigallocatechin Gallate",9,Done,0.328,-3.85704,"glide-grid_Ab3ANT_avrg",-3.92954,-0.413493,-0.0806316,-0,-0.283829,-34.494,-11.8339,0.3829,-0.0346972,-59.8213,-46.328,3.55955
"Apigenin",10,Done,0.094,-4.06491,"glide-grid_Ab3ANT_avrg",-4.09911,-0.510481,-0.278958,-0,-1.56657,-24.6169,-5.04753,0.244873,0,-36.9837,-29.6644,1.83131
"Apigenin",11,Done,0.156,-4.06491,"glide-grid_Ab3ANT_avrg",-4.09911,-0.510481,-0.278958,-0,-1.56657,-24.6169,-5.04753,0.244873,0,-36.9837,-29.6644,1.83131
"Hispidulin",12,Done,0.187,-3.62324,"glide-grid_Ab3ANT_avrg",-3.65744,-0.341051,-0.0693576,-0,-1.36184,-24.1057,-5.89169,0.203854,0,-37.1847,-29.9974,1.65309
"Hispidulin",13,Done,0.204,-3.63602,"glide-grid_Ab3ANT_avrg",-3.67022,-0.363745,-0.0497524,-0,-1.36184,-24.4052,-5.85647,0.203854,0,-37.443,-30.2616,1.74989
"Salvigenin",14,Done,0.187,-3.24444,"glide-grid_Ab3ANT_avrg",-3.24444,-0.315118,-0.0310352,-0,-1.17057,-25.2519,-4.26228,0.174225,0,-36.1366,-29.5141,0.752599
"Demethylnobiletin",15,Done,0.172,-2.04551,"glide-grid_Ab3ANT_avrg",-2.04551,-0.201826,-0.15992,-0,-0.761127,-9.25934,-3.9256,0.129174,0,-10.0722,-13.1849,8.70246
"Tamarixetin",16,Done,0.219,-4.31007,"glide-grid_Ab3ANT_avrg",-4.33387,-0.386945,-0.165764,-0,-1.25276,-27.0387,-9.08382,0.186102,0,-43.0866,-36.1225,11.0843
"Tamarixetin",17,Done,0.265,-4.31007,"glide-grid_Ab3ANT_avrg",-4.33387,-0.386945,-0.165764,-0,-1.25276,-27.0387,-9.08382,0.186102,0,-43.0866,-36.1225,11.0843
"Isosinensetin",18,Done,0.141,-2.54547,"glide-grid_Ab3ANT_avrg",-2.54547,-0.20925,-0.0256884,-0,-0.870214,-28.2443,-1.11596,0.139287,0,-30.5056,-29.3602,7.19164
"Tricin",19,Done,0.187,-3.95069,"glide-grid_Ab3ANT_avrg",-3.98489,0,-0.186074,-0,-1.15712,-21.5965,-11.5617,0.17239,0,-42.9482,-33.1582,2.40767
"Tricin",20,Done,0.235,-3.95069,"glide-grid_Ab3ANT_avrg",-3.98489,0,-0.186074,-0,-1.15712,-21.5965,-11.5617,0.17239,0,-42.9482,-33.1582,2.40767
"5,7-Dihydroxychromone",21,Done,0.094,-5.09406,"glide-grid_Ab3ANT_avrg",-5.12336,-0.547775,-0.369327,-0,-2.19449,-18.0753,-7.38666,0,0,-35.5617,-25.462,0.0243488
"5,7-Dihydroxychromone",22,Done,0.109,-5.09406,"glide-grid_Ab3ANT_avrg",-5.12336,-0.547775,-0.369327,-0,-2.19449,-18.0753,-7.38666,0,0,-35.5617,-25.462,0.0243488
"Rhamnocitrin",23,Done,0.172,-3.98918,"glide-grid_Ab3ANT_avrg",-3.98918,-0.168076,-0.254167,-0,-1.36184,-24.6323,-7.84889,0.203854,0,-40.7343,-32.4812,1.33909
"Rhamnocitrin",24,Done,0.203,-3.98918,"glide-grid_Ab3ANT_avrg",-3.98918,-0.168076,-0.254167,-0,-1.36184,-24.6323,-7.84889,0.203854,0,-40.7343,-32.4812,1.33909
"Homoplantaginin",25,Done,0.437,-6.15263,"glide-grid_Ab3ANT_avrg",-6.15263,-0.560266,-0.373413,-0,-0.25634,-25.9261,-26.423,0.37684,-0.0797027,-74.7329,-52.3491,7.26087
"Sophoraflavanone G",26,Done,0.375,-3.42677,"glide-grid_Ab3ANT_avrg",-3.42677,-0.0215375,-0.218863,-0,-0.514867,-22.401,-13.0419,0.462187,-0.0573563,-44.214,-35.4429,2.63755
"3'-Methoxypuerarin",27,Done,0.36,-3.91313,"glide-grid_Ab3ANT_avrg",-3.91313,-0.413683,0,-0,-0.365427,-30.1503,-12.8523,0.301332,0,-53.7643,-43.0026,4.17155
"3'-Methoxypuerarin",28,Done,0.422,-3.91313,"glide-grid_Ab3ANT_avrg",-3.91313,-0.413683,0,-0,-0.365427,-30.1503,-12.8523,0.301332,0,-53.7643,-43.0026,4.17155
