title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Homoplantaginin",1,Done,5.687,-6.41356,"glide-grid_Ab3ANT_avrg",-6.41356,-0.557431,-0.591347,-0,-0.25634,-26.0192,-28.4782,0.37684,-0.0843182,-79.0296,-54.4974,5.53598
"Oroxin A",2,Done,3.625,-5.99714,"glide-grid_Ab3ANT_avrg",-5.99714,-0.731334,-0.200937,-0,-0.461062,-29.4312,-23.096,0.425739,-0.0935889,-75.6156,-52.5272,5.59219
"Didymin",3,Done,14.953,-5.61377,"glide-grid_Ab3ANT_avrg",-5.61377,-0.467955,0,-0,0,-35.0291,-22.7511,0.170636,-0.152331,-75.4729,-57.7801,16.9447
"Complanatuside",4,Done,23.532,-6.25045,"glide-grid_Ab3ANT_avrg",-6.25045,-0.613991,-0.110912,-0,-0.00784808,-33.2367,-30.816,0.244135,-0.1,-88.3589,-64.0526,12.663
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",5,Done,66.812,-6.04625,"glide-grid_Ab3ANT_avrg",-6.04625,-0.297999,-0.0303111,-0,0,-34.0766,-35.9386,0.147761,-0.16187,-95.1031,-70.0151,20.5394
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",6,Done,54.359,-6.09493,"glide-grid_Ab3ANT_avrg",-6.09493,-0.0231987,-0.321007,-0,0,-34.781,-26.8065,0.103433,-0.115106,-87.3518,-61.5874,11.2248
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",7,Done,60.641,-6.12967,"glide-grid_Ab3ANT_avrg",-6.12967,-0.271351,0,-0,-0.0395012,-37.4109,-28.6121,0.103433,-0.0517064,-89.3097,-66.0231,15.3433
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",8,Done,64.031,-6.23383,"glide-grid_Ab3ANT_avrg",-6.23383,-0.284274,-0.125921,-0,0,-36.9012,-27.5123,0.147761,-0.126341,-91.6425,-64.4134,17.001
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",9,Done,67.953,-6.73027,"glide-grid_Ab3ANT_avrg",-6.73027,-0.77269,-0.0148738,-0,-0.104354,-38.4695,-43.7119,0.147761,-0.0626382,-116.252,-82.1814,22.2714
"Luteolin 7-Glucuronide",10,Done,3.11,-5.37994,"glide-grid_Ab3ANT_avrg",-5.37994,-0.523106,-0.456424,-0,-0.263506,-27.5047,-19.3169,0.283804,-0.147935,-70.815,-46.8216,4.8637
"Quercetin-3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside",11,Done,59.578,-5.56136,"glide-grid_Ab3ANT_avrg",-5.56136,-0.00800851,-0.32,-0,-0.0321397,-24.9535,-41.1776,0.103433,-0.0569703,-92.4417,-66.131,10.8949
"Quercetin-3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside",12,Done,55.187,-6.23383,"glide-grid_Ab3ANT_avrg",-6.23383,-0.284274,-0.125921,-0,0,-36.9012,-27.5123,0.147761,-0.126341,-91.6425,-64.4134,17.001
"Quercetin-3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside",13,Done,70.766,-6.73027,"glide-grid_Ab3ANT_avrg",-6.73027,-0.77269,-0.0148738,-0,-0.104354,-38.4695,-43.7119,0.147761,-0.0626382,-116.252,-82.1814,22.2714
"2-[1-(Triethylsiloxy)-2-propenyl]toluene",14,Done,56.672,-6.84241,"glide-grid_Ab3ANT_avrg",-6.84241,-0.760965,-0.0557006,-0,-0.0984385,-39.4909,-41.6932,0.147761,-0.100522,-115.209,-81.1841,21.7678
"2-[1-(Triethylsiloxy)-2-propenyl]toluene",15,Done,68.89,-6.04625,"glide-grid_Ab3ANT_avrg",-6.04625,-0.297999,-0.0303111,-0,0,-34.0766,-35.9386,0.147761,-0.16187,-95.1031,-70.0151,20.5394
"2-[1-(Triethylsiloxy)-2-propenyl]toluene",16,Done,50.235,-5.46722,"glide-grid_Ab3ANT_avrg",-5.46722,-0.104632,-0.0718263,-0,0,-26.4144,-37.0623,0.103433,-0.0734743,-90.7998,-63.4767,12.5114
"2-[1-(Triethylsiloxy)-2-propenyl]toluene",17,Done,55.734,-6.09493,"glide-grid_Ab3ANT_avrg",-6.09493,-0.0231987,-0.321007,-0,0,-34.781,-26.8065,0.103433,-0.115106,-87.3518,-61.5874,11.2248
"2-[1-(Triethylsiloxy)-2-propenyl]toluene",18,Done,48.5,-6.4177,"glide-grid_Ab3ANT_avrg",-6.4177,-0.196246,-0.148671,-0,0,-41.5013,-30.3676,0.103433,-0.101148,-101.053,-71.8689,18.6744
"2-[1-(Triethylsiloxy)-2-propenyl]toluene",19,Done,58.266,-6.44603,"glide-grid_Ab3ANT_avrg",-6.44603,-0.43132,-0.0580973,-0,0,-39.0272,-38.0744,0.147761,-0.153016,-106.752,-77.1016,24.8818
"Apigenin 7-O-(2G-Rhamnosyl)Gentiobioside",20,Done,55.75,-5.53396,"glide-grid_Ab3ANT_avrg",-5.53396,-0.0835919,-0.16,-0,0,-27.047,-39.4429,0.164745,-0.102764,-89.0109,-66.49,16.6444
"Apigenin 7-O-(2G-Rhamnosyl)Gentiobioside",21,Done,54.61,-5.90127,"glide-grid_Ab3ANT_avrg",-5.90127,-0.167014,-0.0213341,-0,0,-34.5411,-26.5508,0.115321,-0.118562,-84.1757,-61.092,13.7486
"Apigenin 7-O-(2G-Rhamnosyl)Gentiobioside",22,Done,44,-7.01555,"glide-grid_Ab3ANT_avrg",-7.01555,-0.562239,-0.424145,-0,0,-39.7924,-37.2204,0.164745,-0.204292,-109.642,-77.0128,15.4688
"Apigenin 7-O-(2G-Rhamnosyl)Gentiobioside",23,Done,41.953,-6.78604,"glide-grid_Ab3ANT_avrg",-6.78604,-0.577853,-0.270882,-0,0,-39.8877,-27.0955,0.164745,-0.107664,-99.7682,-66.9833,16.2557
