title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Bromosulfophthalein",1,Done,0.609,-2.27475,"glide-grid_Sa3ANT_avrg",-2.34145,-0.275796,-0.0357516,-0,-0.05,-13.4037,-6.82556,0.0693563,-0.355235,-20.8933,-20.2293,5.0416
"Bromosulfophthalein",2,Done,0.188,-2.27475,"glide-grid_Sa3ANT_avrg",-2.34145,-0.275796,-0.0357516,-0,-0.05,-13.4037,-6.82556,0.0693563,-0.355235,-20.8933,-20.2293,5.0416
"Bromosulfophthalein",3,Done,0.156,10000.1,"glide-grid_Sa3ANT_avrg",10000,-0.300575,-0.261608,-0,0,30.842,-7.04701,0.0693563,-0.294267,10000,23.795,7.47909
"Ellagic Acid",4,Done,0.094,-4.99187,"glide-grid_Sa3ANT_avrg",-5.06277,-0.339389,-0.16,-0,-1.34869,-22.7691,-13.8416,0,0,-49.4535,-36.6107,0.473958
"Ellagic Acid",5,Done,0.125,-4.99187,"glide-grid_Sa3ANT_avrg",-5.06277,-0.339389,-0.16,-0,-1.34869,-22.7691,-13.8416,0,0,-49.4535,-36.6107,0.473958
"Ellagic Acid",6,Done,0.109,-4.99187,"glide-grid_Sa3ANT_avrg",-5.06277,-0.339389,-0.16,-0,-1.34869,-22.7691,-13.8416,0,0,-49.4535,-36.6107,0.473958
"Epigallocatechin Gallate",7,Done,0.359,-5.00512,"glide-grid_Sa3ANT_avrg",-5.07762,-0.622475,-0.152454,-0,-0.283829,-34.1115,-17.5167,0.3829,-0.0686783,-64.9771,-51.6282,6.98638
"Epigallocatechin Gallate",8,Done,0.36,-5.00512,"glide-grid_Sa3ANT_avrg",-5.07762,-0.622475,-0.152454,-0,-0.283829,-34.1115,-17.5167,0.3829,-0.0686783,-64.9771,-51.6282,6.98638
"Epigallocatechin Gallate",9,Done,0.312,-5.00512,"glide-grid_Sa3ANT_avrg",-5.07762,-0.622475,-0.152454,-0,-0.283829,-34.1115,-17.5167,0.3829,-0.0686783,-64.9771,-51.6282,6.98638
"Apigenin",10,Done,0.14,-4.92968,"glide-grid_Sa3ANT_avrg",-4.96388,-0.399917,-0.304,-0,-1.56657,-24.2697,-11.0088,0.171411,0,-45.106,-35.2786,8.18673
"Apigenin",11,Done,0.11,-4.92968,"glide-grid_Sa3ANT_avrg",-4.96388,-0.399917,-0.304,-0,-1.56657,-24.2697,-11.0088,0.171411,0,-45.106,-35.2786,8.18673
"Hispidulin",12,Done,0.125,-5.50457,"glide-grid_Sa3ANT_avrg",-5.53877,-0.370756,-0.306326,-0,-1.86184,-23.6834,-13.0558,0.142698,0,-46.5842,-36.7392,10.1248
"Hispidulin",13,Done,0.172,-5.51718,"glide-grid_Sa3ANT_avrg",-5.55138,-0.366364,-0.305984,-0,-1.86184,-23.9156,-13.094,0.142698,0,-46.8852,-37.0097,10.1749
"Salvigenin",14,Done,0.109,-2.82887,"glide-grid_Sa3ANT_avrg",-2.82887,0,-0.0104563,-0,-1.17057,-27.392,-3.01646,0.174225,0,-30.8489,-30.4085,10.0742
"Demethylnobiletin",15,Done,0.172,-3.55162,"glide-grid_Sa3ANT_avrg",-3.55162,-0.108557,-0.127202,-0,-0.761127,-27.1043,-8.85798,0.129174,0,-38.8344,-35.9623,12.0706
"Tamarixetin",16,Done,0.25,-4.31585,"glide-grid_Sa3ANT_avrg",-4.33965,0,-0.0885457,-0,-1.25276,-24.0679,-13.207,0.186102,0,-47.7235,-37.2749,3.71348
"Tamarixetin",17,Done,0.234,-4.31585,"glide-grid_Sa3ANT_avrg",-4.33965,0,-0.0885457,-0,-1.25276,-24.0679,-13.207,0.186102,0,-47.7235,-37.2749,3.71348
"Isosinensetin",18,Done,0.203,-2.78612,"glide-grid_Sa3ANT_avrg",-2.78612,-0.0299217,-0.0750884,-0,-0.870214,-23.3157,-5.22935,0.139287,0,-32.7628,-28.545,1.0504
"Tricin",19,Done,0.141,-3.17752,"glide-grid_Sa3ANT_avrg",-3.21172,-0.466125,0,-0,-1.15712,-25.9228,-3.09818,0.17239,0,-33.7862,-29.021,2.25198
"Tricin",20,Done,0.187,-3.17752,"glide-grid_Sa3ANT_avrg",-3.21172,-0.466125,0,-0,-1.15712,-25.9228,-3.09818,0.17239,0,-33.7862,-29.021,2.25198
"5,7-Dihydroxychromone",21,Done,0.094,-5.14866,"glide-grid_Sa3ANT_avrg",-5.17796,-0.0352044,-0.32,-0,-2.19449,-16.8614,-11.9013,0,0,-40.6956,-28.7627,0.720408
"5,7-Dihydroxychromone",22,Done,0.078,-5.14866,"glide-grid_Sa3ANT_avrg",-5.17796,-0.0352044,-0.32,-0,-2.19449,-16.8614,-11.9013,0,0,-40.6956,-28.7627,0.720408
"Rhamnocitrin",23,Done,0.25,-4.16608,"glide-grid_Sa3ANT_avrg",-4.16608,-0.177391,-0.169772,-0,-1.36184,-26.2543,-8.98809,0.203854,0,-42.2675,-35.2424,8.05108
"Rhamnocitrin",24,Done,0.219,-4.16608,"glide-grid_Sa3ANT_avrg",-4.16608,-0.177391,-0.169772,-0,-1.36184,-26.2543,-8.98809,0.203854,0,-42.2675,-35.2424,8.05108
"Homoplantaginin",25,Done,0.344,-3.22326,"glide-grid_Sa3ANT_avrg",-3.22326,-0.111104,-0.232778,-0,-0.25634,-35.9135,-7.8892,0.37684,-0.0208215,-50.6798,-43.8027,5.20388
"Sophoraflavanone G",26,Done,0.343,-5.11084,"glide-grid_Sa3ANT_avrg",-5.11084,-0.440995,-0.772575,-0,-0.514867,-35.0303,-15.2116,0.660267,-0.00941861,-64.3827,-50.2418,6.83809
"3'-Methoxypuerarin",27,"GRID-ENERGY MIN FAILED",0.266,,,,,,,,,,,,,,
"3'-Methoxypuerarin",28,"GRID-ENERGY MIN FAILED",0.219,,,,,,,,,,,,,,
"Robinetin",29,Done,0.203,-5.20557,"glide-grid_Sa3ANT_avrg",-5.22717,-0.492444,-0.114012,-0,-1.34839,-18.2371,-17.08,0.20153,0,-47.4624,-35.317,4.43455
"Robinetin",30,Done,0.187,-5.20557,"glide-grid_Sa3ANT_avrg",-5.22717,-0.492444,-0.114012,-0,-1.34839,-18.2371,-17.08,0.20153,0,-47.4624,-35.317,4.43455
"Robinetin",31,Done,0.188,-5.20557,"glide-grid_Sa3ANT_avrg",-5.22717,-0.492444,-0.114012,-0,-1.34839,-18.2371,-17.08,0.20153,0,-47.4624,-35.317,4.43455
"3'-Hydroxypuerarin",32,Done,0.344,-4.03129,"glide-grid_Sa3ANT_avrg",-4.03129,-0.404423,0,-0,-0.461062,-30.2516,-13.1502,0.319304,0,-48.8719,-43.4018,14.7706
"3'-Hydroxypuerarin",33,Done,0.312,-4.03129,"glide-grid_Sa3ANT_avrg",-4.03129,-0.404423,0,-0,-0.461062,-30.2516,-13.1502,0.319304,0,-48.8719,-43.4018,14.7706
"4'-Methoxypuerarin",34,"GRID-ENERGY MIN FAILED",0.203,,,,,,,,,,,,,,
"4'-Methoxypuerarin",35,"GRID-ENERGY MIN FAILED",0.235,,,,,,,,,,,,,,
"8-Beta-D-Glucopyranosyl-7-Hydroxy-3-(4-Methoxyphenyl)-4H-1-Benzopyran-4-One",36,Done,0.296,-4.64569,"glide-grid_Sa3ANT_avrg",-4.64569,-0.63788,-0.0474372,-0,-0.474514,-18.8809,-19.0918,0.321961,0,-45.599,-37.9727,6.41545
"8-Beta-D-Glucopyranosyl-7-Hydroxy-3-(4-Methoxyphenyl)-4H-1-Benzopyran-4-One",37,Done,0.313,-4.64569,"glide-grid_Sa3ANT_avrg",-4.64569,-0.63788,-0.0474372,-0,-0.474514,-18.8809,-19.0918,0.321961,0,-45.599,-37.9727,6.41545
"Sophoraflavonoloside",38,"NO POSES STORED FOR LIGAND",0.812,,,,,,,,,,,,,,
"Sophoraflavonoloside",39,"NO POSES STORED FOR LIGAND",0.797,,,,,,,,,,,,,,
"Nevadensin",40,Done,0.125,-3.35388,"glide-grid_Sa3ANT_avrg",-3.38488,-0.661618,0,-0,-1.06149,-29.6992,-2.24646,0.160147,0,-37.5501,-31.9456,3.76556
"Nevadensin",41,Done,0.157,-3.35388,"glide-grid_Sa3ANT_avrg",-3.38488,-0.661618,0,-0,-1.06149,-29.6992,-2.24646,0.160147,0,-37.5501,-31.9456,3.76556
"Moslosooflavone",42,Done,0.171,-4.33229,"glide-grid_Sa3ANT_avrg",-4.33229,-0.805193,-0.0357878,-0,-1.45262,-14.9757,-9.97415,0.206219,0,-28.5608,-24.9498,5.60607
"Oroxin A",43,Done,0.344,-3.37902,"glide-grid_Sa3ANT_avrg",-3.37902,-0.366504,0,-0,-0.461062,-29.8534,-9.60962,0.425739,-0.0430796,-45.2517,-39.463,7.4186
"Noricaritin",44,Done,0.235,-3.83874,"glide-grid_Sa3ANT_avrg",-3.83874,-0.186171,-0.150531,-0,-0.870214,-25.6583,-12.7071,0.55715,0,-46.9036,-38.3654,5.85787
"Noricaritin",45,Done,0.328,-3.83874,"glide-grid_Sa3ANT_avrg",-3.83874,-0.186171,-0.150531,-0,-0.870214,-25.6583,-12.7071,0.55715,0,-46.9036,-38.3654,5.85787
" 3,3',4',5,6,7,8-Heptamethoxyflavone; 3-Methoxynobiletin",46,Done,0.156,-2.82758,"glide-grid_Sa3ANT_avrg",-2.82758,-0.248919,-0.161976,-0,-0.460769,-29.3474,-3.96645,0.106416,0,-33.6809,-33.3138,12.0301
"Didymin",47,Done,0.484,-4.08444,"glide-grid_Sa3ANT_avrg",-4.08444,-0.36521,-4.65675e-06,-0,-0.148614,-15.2635,-19.5862,0.243765,-0.113274,-26.8392,-34.8497,24.8491
"Mosloflavone",48,Done,0.141,-3.11174,"glide-grid_Sa3ANT_avrg",-3.11174,-0.455521,0,-0,-1.3753,-26.0613,-1.22715,0.206219,0,-29.6751,-27.2885,6.76853
"Demethylwedelolactone",49,Done,0.078,-5.13419,"glide-grid_Sa3ANT_avrg",-5.34849,-0.333627,-0.281027,-0,-1.36214,-21.6097,-15.2748,0,0,-50.4462,-36.8845,0.372846
"Demethylwedelolactone",50,Done,0.109,-5.13419,"glide-grid_Sa3ANT_avrg",-5.34849,-0.333627,-0.281027,-0,-1.36214,-21.6097,-15.2748,0,0,-50.4462,-36.8845,0.372846
"Demethylwedelolactone",51,Done,0.079,-5.13419,"glide-grid_Sa3ANT_avrg",-5.34849,-0.333627,-0.281027,-0,-1.36214,-21.6097,-15.2748,0,0,-50.4462,-36.8845,0.372846
"Demethylwedelolactone",52,Done,0.109,-5.13419,"glide-grid_Sa3ANT_avrg",-5.34849,-0.333627,-0.281027,-0,-1.36214,-21.6097,-15.2748,0,0,-50.4462,-36.8845,0.372846
"Demethylwedelolactone",53,Done,0.094,-5.13419,"glide-grid_Sa3ANT_avrg",-5.34849,-0.333627,-0.281027,-0,-1.36214,-21.6097,-15.2748,0,0,-50.4462,-36.8845,0.372846
" Luteolin 5-Glucoside",54,Done,0.203,-4.85042,"glide-grid_Sa3ANT_avrg",-4.87182,-0.203435,0,-0,-0.351976,-27.8561,-21.7191,0.398569,-0.0643029,-65.3747,-49.5752,7.59846
