title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Isoquercitrin",1,Done,3.547,-6.07732,"glide-grid_Sa3ANT_avrg",-6.10112,-0.471783,-0.512136,-0,-0.242889,-22.9647,-27.4541,0.373927,-0.1,-68.1623,-50.4188,7.16834
"Isoquercitrin",2,Done,3.141,-6.07732,"glide-grid_Sa3ANT_avrg",-6.10112,-0.471783,-0.512136,-0,-0.242889,-22.9647,-27.4541,0.373927,-0.1,-68.1623,-50.4188,7.16834
"Nicotiflorin",3,Done,11.156,-5.62334,"glide-grid_Sa3ANT_avrg",-5.64714,-0.129042,-0.313534,-0,0,-33.1035,-24.147,0.170694,-0.0980255,-69.5999,-57.2505,10.8465
"Nicotiflorin",4,Done,10.797,-5.62334,"glide-grid_Sa3ANT_avrg",-5.64714,-0.129042,-0.313534,-0,0,-33.1035,-24.147,0.170694,-0.0980255,-69.5999,-57.2505,10.8465
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",5,Done,39.89,-5.97573,"glide-grid_Sa3ANT_avrg",-5.97573,-0.140169,0,-0,0,-37.6754,-38.5815,0.103433,-0.0552254,-96.6195,-76.257,29.7505
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",6,Done,45.938,-6.21584,"glide-grid_Sa3ANT_avrg",-6.21584,-0.282472,-0.16,-0,0,-37.216,-39.6841,0.147761,-0.060326,-97.3483,-76.9002,22.1318
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",7,Done,34.875,-5.91677,"glide-grid_Sa3ANT_avrg",-5.91677,-0.5179,-0.0641366,-0,-0.039641,-27.4598,-44.3651,0.147761,-0.0698651,-85.8486,-71.825,27.3798
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",8,Done,50.562,-6.63181,"glide-grid_Sa3ANT_avrg",-6.63181,-0.444636,0,-0,-0.0338334,-43.8473,-46.732,0.147761,-0.108734,-111.615,-90.5793,40.4015
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",9,Done,40.594,-6.80555,"glide-grid_Sa3ANT_avrg",-6.80555,-0.295282,-0.478324,-0,-0.0305213,-40.9838,-36.9341,0.147761,-0.1,-113.518,-77.9179,12.2114
" Quercetin 3-O-Beta-D-Glucose-7-O-Beta-D-Gentiobioside; 2-(3,4-Dihydroxyphenyl)-5-Hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-",10,Done,43.406,-6.13813,"glide-grid_Sa3ANT_avrg",-6.13813,-0.576511,-0.0171765,-0,0,-31.5018,-45.3929,0.147761,-0.117112,-96.694,-76.8947,22.145
